,ID_nome_comum,fk_nome_cientifico
317,185,Arrhopalites paranaensis
318,185,Pararrhopalites papaveroi
319,185,Troglobius brasiliensis
320,185,Troglobius ferroicus
321,185,Trogolaphysa aelleni
322,185,Archisotoma arariboia
323,185,Pseudosinella ambigua
324,185,Seira arenicola
325,185,Isotomiella uai
326,185,Archisotoma catiae
327,185,Maricaella duna
328,185,Aethiopella littoralis
329,185,Seira mataraquensis
330,185,Seira musarum
331,185,Agraphorura mariapetrae
332,185,Isotomodes cariocus
333,185,Psammisotoma restingae
334,185,Arlea arenicola
335,185,Paracerura gandarela
336,185,Hyleanura mendoncae
337,185,Mesaphorura maricaensis
338,185,Seira pseudoannulata
339,185,Arlesia intermedia
340,185,Isotomurus riparius
341,185,Arlea psammophila
342,185,Micranurida fluminensis
343,186,Pseudoseisura lophotes
344,187,Conorhynchos conirostris
345,188,Philodryas livida
346,189,Coryphistera alaudina
347,190,Ateles marginatus
348,191,Pyrilia vulturina
349,192,Geositta poeciloptera
350,193,Rhinella casconi
351,194,Chiropotes utahickae
352,195,Chiropotes satanas
353,196,Lepidothrix vilasboasi
354,197,Trinomys mirapitanga
355,198,Drephalys mourei
356,198,Parelbella polyzona
357,198,Drephalys miersi
358,198,Zonia zonia diabo
359,199,Microspathodon chrysurus
360,200,Stegastes sanctipauli
361,201,Stegastes trindadensis
362,202,Leptagrion bocainense
363,203,Leptagrion bocainense
364,204,Adebrotus lugoi
365,204,Camelobaetidius juparana
366,204,Camelobaetidius maranhensis
367,204,Simothraulopsis eurybasis
368,205,Aegla franca
369,205,Aegla leptodactyla
370,205,Aegla perobae
371,205,Aegla renana
372,205,Aegla cavernicola
373,205,Aegla leptochela
374,205,Aegla microphthalma
375,205,Aegla brevipalma
376,205,Aegla camargoi
377,205,Aegla inconspicua
378,205,Aegla inermis
379,205,Aegla itacolomiensis
380,205,Aegla leachi
381,205,Aegla manuinflata
382,205,Aegla oblata
383,205,Aegla obstipa
384,205,Aegla violacea
385,206,Trinomys eliasi
386,207,Peridontodesmella alba
387,207,Pseudonannolene spelaea
388,207,Sandalodesmus stramineus
389,208,Ananteris infuscata
390,208,Hadrurochactas araripe
391,208,Hadrurochactas brejo
392,208,Troglorhopalurus translucidus
393,209,Rowlandius ubajara
394,210,Epinephelus marginatus
395,211,Halichondria cebimarensis
396,211,Halichondria tenebrica
397,211,Corvomeyenia epilithosa
398,211,Latrunculia janeirensis
399,211,Racekiela cavernicola
400,212,Luidia senegalensis
401,213,Joiceya praeclarus
402,213,Rhetus belphegor
403,213,Voltinia sanarita
404,214,Drymusa spelunca
405,215,Mycetopoda legumen
406,216,Schiffornis turdina intermedia
407,217,Physalaemus soaresi
408,218,Dinoponera lucida
409,218,Gnamptogenys wilsoni
410,218,Mycetophylax simplex
411,218,Mycetomoellerius atlanticus
412,218,Atta robusta
413,218,Brachymyrmex micromegas
414,218,Diaphoromyrma sofiae
415,218,Monomorium delabiei
416,218,Mycetagroicus urbanus
417,218,Rhopalothrix plaumanni
418,218,Fulakora cleae
419,219,Mycetagroicus urbanus
420,220,Mycetagroicus urbanus
421,221,Gyldenstolpia planaltensis
422,222,Neopelma aurifrons
423,223,Peridontodesmella alba
424,223,Pseudonannolene spelaea
425,223,Sandalodesmus stramineus
426,224,Chaetomys subspinosus
427,225,Epinephelus marginatus
428,226,Hyporthodus niveatus
429,227,Epinephelus marginatus
430,228,Herpailurus yagouaroundi
431,229,Leopardus geoffroyi
432,229,Leopardus guttulus
433,229,Leopardus tigrinus
434,229,Leopardus wiedii
435,230,Leopardus guttulus
436,231,Leopardus geoffroyi
437,232,Leopardus tigrinus
438,233,Leopardus tigrinus
439,234,Leopardus tigrinus
440,235,Leopardus tigrinus
441,235,Leopardus wiedii
442,236,Leopardus tigrinus
443,237,Herpailurus yagouaroundi
444,238,Leopardus wiedii
445,239,Herpailurus yagouaroundi
446,240,Phyllomys thomasi
447,241,Tursiops gephyreus
448,242,Tursiops gephyreus
449,243,Peridontodesmella alba
450,243,Pseudonannolene spelaea
451,243,Sandalodesmus stramineus
452,244,Rhopornis ardesiacus
453,245,Cichlocolaptes mazarbarnetti
454,246,Cardisoma guanhumi
455,247,Alouatta belzebul
456,247,Alouatta ululata
457,248,Alouatta belzebul
458,248,Alouatta discolor
459,249,Chrysocyon brachyurus
460,250,Cnesterodon iguape
461,251,Ateles marginatus
462,252,Callicebus melanochir
463,252,Callicebus coimbrai
464,252,Callicebus personatus
465,253,Callicebus coimbrai
466,254,Callicebus coimbrai
467,255,Callicebus personatus
468,256,Cavia intermedia
469,257,Thalpomys lasiotis
470,258,Ditaxodon taeniatus
471,259,Thamnomanes caesius caesius
472,260,Crossodactylodes itambe
473,261,Holoaden bradei
474,262,Hylodes glaber
475,263,Eigenmannia vicentespelaea
476,263,Sternarchella curvioperculata
477,263,Sternarchorhynchus britskii
478,263,Sternarchorhynchus severii
479,264,Tembeassu marauna
480,265,Xenohyla truncata
481,266,Euparkerella robusta
482,267,Psophia obscura
483,268,Psophia dextralis
484,269,Psophia interjecta
485,270,Neomorphus squamiger
486,271,Penelope superciliaris alagoensis
487,272,Neomorphus geoffroyi geoffroyi
488,272,Neomorphus geoffroyi
489,272,Neomorphus geoffroyi amazonicus
490,272,Neomorphus geoffroyi dulcis
491,273,Penelope jacucaca
492,274,Penelope superciliaris alagoensis
493,275,Penelope pileata
494,276,Herpailurus yagouaroundi
