,fk_id_categoria,nome_cientifico,ano
330,5.0,Hypsolebias auratus,2014
331,5.0,Hypsolebias auratus,2021
332,3.0,Hypsolebias brunoi,2014
333,3.0,Hypsolebias brunoi,2021
334,5.0,Hypsolebias carlettoi,2014
335,4.0,Hypsolebias carlettoi,2021
336,0.0,Hypsolebias delucai,2014
337,3.0,Hypsolebias delucai,2021
338,3.0,Hypsolebias fasciatus,2014
339,3.0,Hypsolebias fasciatus,2021
340,5.0,Hypsolebias flavicaudatus,2014
341,4.0,Hypsolebias flavicaudatus,2021
342,5.0,Hypsolebias fulminantis,2014
343,5.0,Hypsolebias fulminantis,2021
344,5.0,Hypsolebias ghisolfii,2014
345,4.0,Hypsolebias ghisolfii,2021
346,3.0,Hypsolebias gibberatus,2014
347,3.0,Hypsolebias gibberatus,2021
348,2.0,Hypsolebias gilbertobrasili,2014
349,5.0,Hypsolebias gilbertobrasili,2021
350,3.0,Hypsolebias guanambi,2014
351,3.0,Hypsolebias guanambi,2021
352,3.0,Hypsolebias harmonicus,2014
353,3.0,Hypsolebias harmonicus,2021
354,4.0,Hypsolebias hellneri,2014
355,4.0,Hypsolebias hellneri,2021
356,5.0,Hypsolebias igneus,2014
357,4.0,Hypsolebias igneus,2021
358,5.0,Hypsolebias janaubensis,2014
359,5.0,Hypsolebias janaubensis,2021
360,3.0,Hypsolebias longignatus,2014
361,3.0,Hypsolebias longignatus,2021
362,3.0,Hypsolebias lopesi,2014
363,5.0,Hypsolebias lopesi,2021
364,5.0,Hypsolebias macaubensis,2014
365,4.0,Hypsolebias macaubensis,2021
366,4.0,Hypsolebias magnificus,2014
367,4.0,Hypsolebias magnificus,2021
368,3.0,Hypsolebias mediopapillatus,2014
369,3.0,Hypsolebias mediopapillatus,2021
370,4.0,Hypsolebias nielseni,2014
371,4.0,Hypsolebias nielseni,2021
372,4.0,Hypsolebias notatus,2014
373,4.0,Hypsolebias notatus,2021
374,0.0,Hypsolebias nudiorbitatus,2014
375,3.0,Hypsolebias nudiorbitatus,2021
376,3.0,Hypsolebias picturatus,2014
377,4.0,Hypsolebias picturatus,2021
378,0.0,Hypsolebias radiseriatus,2014
379,4.0,Hypsolebias radiseriatus,2021
380,5.0,Hypsolebias rufus,2014
381,5.0,Hypsolebias rufus,2021
382,4.0,Hypsolebias stellatus,2014
383,4.0,Hypsolebias stellatus,2021
384,3.0,Hypsolebias trilineatus,2014
385,5.0,Hypsolebias trilineatus,2021
386,5.0,Hypsolebias virgulatus,2014
387,5.0,Hypsolebias virgulatus,2021
388,5.0,Kryptolebias brasiliensis,2014
389,4.0,Kryptolebias brasiliensis,2021
390,5.0,Kryptolebias gracilis,2014
391,5.0,Kryptolebias gracilis,2021
392,5.0,Leptopanchax citrinipinnis,2014
393,5.0,Leptopanchax citrinipinnis,2021
394,5.0,Leptopanchax itanhaensis,2014
395,5.0,Leptopanchax itanhaensis,2021
396,5.0,Leptolebias marmoratus,2014
397,5.0,Leptolebias marmoratus,2021
398,5.0,Leptopanchax opalescens,2014
399,5.0,Leptopanchax opalescens,2021
400,5.0,Leptopanchax splendens,2014
401,5.0,Leptopanchax splendens,2021
402,4.0,Melanorivulus pinima,2014
403,4.0,Melanorivulus pinima,2021
404,3.0,Melanorivulus rutilicaudus,2014
405,3.0,Melanorivulus rutilicaudus,2021
406,4.0,Melanorivulus vittatus,2014
407,4.0,Melanorivulus vittatus,2021
408,5.0,Nematolebias catimbau,2014
409,5.0,Nematolebias catimbau,2021
410,5.0,Nematolebias papilliferus,2014
411,5.0,Nematolebias papilliferus,2021
412,5.0,Notholebias cruzi,2014
413,5.0,Notholebias cruzi,2021
414,5.0,Notholebias fractifasciatus,2014
415,5.0,Notholebias fractifasciatus,2021
416,5.0,Notholebias minimus,2014
417,4.0,Notholebias minimus,2021
418,4.0,Notholebias vermiculatus,2014
419,5.0,Notholebias vermiculatus,2021
420,5.0,Ophthalmolebias bokermanni,2014
421,5.0,Ophthalmolebias bokermanni,2021
422,5.0,Ophthalmolebias constanciae,2014
423,5.0,Ophthalmolebias constanciae,2021
424,5.0,Ophthalmolebias ilheusensis,2014
425,4.0,Ophthalmolebias ilheusensis,2021
426,5.0,Ophthalmolebias perpendicularis,2014
427,5.0,Ophthalmolebias perpendicularis,2021
428,3.0,Ophthalmolebias rosaceus,2014
429,5.0,Ophthalmolebias rosaceus,2021
430,3.0,Ophthalmolebias suzarti,2014
