,ID_nome_comum,Nome_comum
379,379,Papa-formigas
380,380,Papa-taoca-da-bahia
381,381,Papagaio-de-peito-roxo
382,382,Parelheira-do-Campo
383,383,Pargo
384,384,Pargo-cachucho
385,385,Pargo-verdadeiro
386,386,Patagonian Seahorse
387,387,Patativa-tropeira
388,388,Patinho-de-asa-castanha
389,389,Paña-amarela
390,390,Peixe anual
391,391,Peixe das nuvens
392,392,Peixe de chuva
393,393,Peixe-anual
394,394,Peixe-boi-da-amazônia
395,395,Peixe-boi-marinho
396,396,Peixe-da-chuva
397,397,Peixe-das-nuvens
398,398,Peixe-papagaio-cinza
399,399,Peixe-rei
400,400,Peracuca
401,401,Perereca
402,402,Perereca de bromélia
403,403,Perereca-buriti
404,404,Perereca-da-ilha-dos-porcos
405,405,Perereca-das-folhagens
406,406,Perereca-de-Alcatraz
407,407,Perereca-de-bromélia
408,408,Perereca-de-capacete
409,409,Perereca-de-pijama-buriti
410,410,Perereca-do-vulcão
411,411,Perereca-frugívora
412,412,Perereca-fruta
413,413,Perereca-gladiadora-de-sino
414,414,Perereca-limão-da-Bahia
415,415,Perereca-macaco-rustica
416,416,Perereca-pintada
417,417,Perereca-verde-de-fímbria
418,418,Perereca-verde-de-riacho-de-Paranapiacaba
419,419,Pererequinha-da-Queimada-Grande-de-Peixoto
420,420,Pererequinha-macaco
421,421,Petropolis River Frog
422,422,Piaba
423,423,Piaba-branca
424,424,Piabanha
425,425,Piabinha
426,426,Pica-Pau-Dourado-De-Belém
427,427,Pica-pau-amarelo
428,428,Pica-pau-de-coleira
429,429,Pica-pau-do-parnaíba
430,430,Picota ouro
431,431,Pingo-de-ouro-brilhante
432,432,Pintadinho
433,433,Pintado
434,434,Pintassilgo-Do-Nordeste
435,435,Piolhinho-do-grotão
436,436,Piolho-de cobra
437,437,Piolho-de-cobra
438,438,Piracanjuba
439,439,Piraja's Lancehead
440,440,Pirambeba
441,441,Pirapitinga
442,442,Pirá
443,443,Pirá-tamanduá
444,444,Planária
445,445,Plateau Smooth Horned Frog
446,446,Pocomã
447,447,Ppainted tree-rat
448,448,Preguiça-de-coleira
449,449,Preá
450,450,Pulga-de-jardim
451,451,Queixada
452,452,Rabo-amarelo
453,453,Rabo-branco-de-margarette
454,454,Rabo-de-andorinha
455,455,Rabo-de-espinho
456,456,Rabudinho
457,457,Rabudo
458,458,Raposa-do-campo
459,459,Rato-candango
460,460,Rato-da-árvore
461,461,Rato-de-Noronha
462,462,Rato-do-cacau
463,463,Rato-do-chão
464,464,Rato-do-chão do Caparaó
465,465,Rato-do-espinho
466,466,Rato-do-mato
467,467,Rato-goytacá
468,468,Rato-paca
469,469,Red belly toad
470,470,Restinga Rice Rat
471,471,Rock cavy
472,472,Rocky outcrop colilargo
473,473,Rolinha-do-planalto
474,474,Rudela
475,475,Rudela-redonda
476,476,Rufous-nosed Mouse
477,477,Rã-da-pedra
478,478,Rã-das-pedras-de-Petropolis
479,479,Rã-de-cachoeira
480,480,Rã-de-corredeira
481,481,Rã-de-riacho-de-Mertens
482,482,Rã-de-riacho-de-floresta
483,483,Rã-do-paredão
484,484,Rãnzinha-pulga
485,485,Rãzinha
486,486,Rãzinha dos rochedos
487,487,Rãzinha-da-mata
488,488,Rãzinha-da-mata-do-Garcia
489,489,Rãzinha-de-barriga-colorida
490,490,Rãzinha-de-bromélia
491,491,Rãzinha-de-corredeira
492,492,Rãzinha-de-folhiço
493,493,Rãzinha-de-riacho
494,494,Rãzinha-de-riacho-distinta
495,495,Rãzinha-do-folhiço
496,496,Rãzinha-do-folhiço-da-ilha
497,497,Rãzinha-do-sazima
498,498,Rãzinha-dos-rochedos
499,499,Rãzinha-verrugosa-da-serra-de-Brade
500,500,Rãzinha-verrugosa-da-serra-de-Bradei
501,501,Sabiá-castanho
502,502,Sagui-branco
503,503,Sagui-da-serra
504,504,Sagui-da-serra-claro
505,505,Sagui-da-serra-escuro
506,506,Sagui-taquara
507,507,Sagui-una
508,508,Santa Teresa Robber Frog
509,509,Sanã-de-cara-ruiva
510,510,Sapinho-Bianca
511,511,Sapinho-admirável-de-barriga-vermelha
512,512,Sapinho-da-barriga-colorida
513,513,Sapinho-da-barriga-vermelha
514,514,Sapinho-da-restinga
515,515,Sapinho-de-barriga-vermelha-uruguaio
516,516,Sapinho-de-colete
517,517,Sapinho-do-Itambé
518,518,Sapinho-dourado
519,519,Sapinho-manicure
520,520,Sapinho-mão-vermelha-da-restinga
521,521,Sapinho-mão-vermelha-de-Cambará
522,522,Sapinho-mão-vermelha-de-Montevidéu
523,523,Sapinho-mão-vermelha-de-Torres
524,524,Sapinho-narigudo-de-barriga-vermelha
525,525,Sapinho-pingo-de-ouro-sardento
526,526,Sapinho-verde
527,527,Sapinho-verde-de-barriga-vermelha
528,528,Sapito de Darwin
529,529,Sapo
530,530,Sapo intanha
531,531,Sapo-Intanha
532,532,Sapo-Untanha
533,533,Sapo-de-Chifre
534,534,Sapo-de-chifre
535,535,Sapo-de-chifre-do-Araripe
536,536,Sapo-de-chifres
537,537,Sapo-folha
538,538,Sapo-untanha
539,539,Saripoca-de-gould
540,540,Saruê-beiju
541,541,Saruê-beju
542,542,Sauim-piranga
543,543,Sauim-preto
544,544,Sauá
545,545,Sauá-de-cara-preta
546,546,Saíra-apunhalada
547,547,Saíra-diamante
548,548,Saíra-militar
549,549,Serigado cherne
550,550,Serigado tapoan
551,551,Short-furred Atlantic tree-rat
552,552,Sirigado
553,553,Spiny-knee Leaf Frog
554,554,Stejneger's Button Frog
555,555,Surubim
556,556,Surubim-do-doce
557,557,Surubim-do-iguaçu
558,558,Surubim-do-jequitinhonha
559,559,Surubim-do-paraíba
560,560,Surubim-pintado
561,561,Surucuá-de-coleira
562,562,São Paulo Tree Toad
563,563,Tamanduá-bandeira
564,564,Tapaculo-Da-Chapada-Diamantina
565,565,Tapaculo-preto-baiano
566,566,Tartaruga Legítima
567,567,Tartaruga amarela
568,568,Tartaruga comum
569,569,Tartaruga de escamas
570,570,Tartaruga mestiça
571,571,Tartaruga pequena
572,572,Tartaruga verdadeira
573,573,Tartaruga-avó
574,574,Tartaruga-cabeçuda
575,575,Tartaruga-de-cerro
576,576,Tartaruga-de-couro
577,577,Tartaruga-de-leste
578,578,Tartaruga-de-pente
579,579,Tartaruga-de-quilha
580,580,Tartaruga-gigante
581,581,Tartaruga-oliva
582,582,Tartaruga-preta
583,583,Tartaruga-sete-quilhas
584,584,Tatu-açú
585,585,Tatu-bola
586,586,Tatu-canastra
587,587,Tatuzinho
588,588,Tetra-rio
589,589,Tetra-rosa
590,590,Tetra-vermelho
591,591,Thin-spined Porcupine
592,592,Timburé
593,593,Tiriba-De-Peito-Cinza
594,594,Tiriba-de-barriga-vermelha
595,595,Tiriba-de-cauda-vermelha
596,596,Tiriba-de-hellmayr
597,597,Tiriba-grande
598,598,Tiê-bicudo
599,599,Toninha
600,600,Topetinho-Do-Brasil-Central
601,601,Torom-De-Alta-Floresta
602,602,Torom-Do-Pará
603,603,Tovacuçu
604,604,Transitional Colilargo
605,605,Treme-treme
606,606,Tribe's Climbing Mouse
607,607,Tubarão-anjo-argentino
608,608,Tubarão-anjo-oculto
609,609,Tubarão-baleia
610,610,Tubarão-bico-doce-pintado
611,611,Tubarão-branco
612,612,Tubarão-das-galápagos
613,613,Tubarão-dos-recifes
614,614,Tubarão-elefante
615,615,Tubarão-estrela
616,616,Tubarão-galha-branca
617,617,Tubarão-galhudo
618,618,Tubarão-limão
619,619,Tubarão-lixa
620,620,Tubarão-martelo
621,621,Tubarão-martelo-de-aba-curta
622,622,Tubarão-martelo-grande
623,623,Tubarão-martelo-liso
624,624,Tubarão-peregrino
625,625,Tubarão-rabudo
626,626,Tubarão-raposa
627,627,Tubarão-saltador
628,628,Tubarão-sucuri
629,629,Tubarão-toninha
630,630,Tuco-tuco
631,631,Tuco-tuco pequeno
632,632,Tujuba
633,633,Unicolored Tree Rat
634,634,Uru
635,635,Urumaru
636,636,Uruçu
637,637,Veado-bororó-do-sul
638,638,Veado-campeiro; Veado-branco; Veado-galheiro
639,639,Veado-mão-curta
640,640,Vermelha
641,641,Vermelho-caranho
642,642,Vespucci's Rodent
643,643,Veste-amarela
644,644,Vira-Folha-Cearense
645,645,Vira-folha-de-peito-vermelho
646,646,Vira-folha-pardo
647,647,Xibirro
648,648,Yonenaga's Atlantic Spiny-rat
649,649,abelha-sem-ferrão
650,650,acrobata
651,651,agulhinha
652,652,alacrau
653,653,albatroz-de-nariz-amarelo
654,654,albatroz-de-tristão
655,655,albatroz-errante
656,656,albatroz-gigante
657,657,albatroz-real
658,658,albatroz-real-do-norte
659,659,alegrinho-do-rio
660,660,amaripim
661,661,anambezinho
662,662,anambé-de-asa-branca
663,663,andarilho
664,664,annual fish
665,665,annual killifish
666,666,annual-fish
667,667,anta brasileira
668,668,anumará
669,669,apuim-de-cauda-amarela
670,670,apuim-de-costas-pretas
671,671,aranha-bode
672,672,aranha-fedorenta
673,673,aranha-saltadora
674,674,aranha-treme-treme
675,675,aranha-vibratória
676,676,arapaçu-barrado-do-leste
677,677,arapaçu-barrado-do-xingu
678,678,arapaçu-beija-?or
679,679,arapaçu-canela-de-belém
680,680,arapaçu-da-taoca
681,681,arapaçu-de-bico-curvo-do-xingu
682,682,arapaçu-de-garganta-ama
683,683,arapaçu-de-garganta-amarela-do-nordeste
684,684,arapaçu-de-loro-cinza
685,685,arapaçu-do-carajás
686,686,arapaçu-do-nordeste
687,687,arapaçu-do-tapajós
688,688,arapaçu-pardo-do-nordeste
689,689,arapaçu-rajado-do-nordeste
690,690,arapaçu-uniforme
691,691,araponga-da-amazônia
692,692,araponga-do-horto
693,693,arara-azul-de-lear
694,694,arara-azul-de-spix
695,695,arara-azul-pequena
696,696,ararajuba
697,697,ararinha-azul
698,698,araçari-de-pescoço-vermelho
699,699,aruá
700,700,aruá-do-brejo
